open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,price_change_24h,Buy_Volume,Sell_Volume,Delta_Volume,RSI,MACD,Signal_Line,VWAP,Parabolic_SAR
41948.99,42178.39,41500.0,41816.71,4035.12,168730830.0,117717.0,1954.65,81770950.0,0.0,-1.31,1954.65,2080.47,-125.82,32.62,-123.47,-44.2,1448468.8,42788.52
41816.71,41916.07,41370.0,41508.95,3372.52,140169420.0,90412.0,1666.6,69268536.0,0.0,-2.59,1666.6,1705.92,-39.32,26.55,-186.55,-72.67,1490031.0,42736.98
41508.95,41601.52,40831.99,41022.32,5153.56,212495490.0,133308.0,2115.15,87297210.0,0.0,-3.73,2115.15,3038.41,-923.26,19.22,-272.67,-112.67,1531263.6,42654.96
41022.33,41315.8,40683.28,40835.6,4564.23,187019360.0,110559.0,2299.01,94237500.0,0.0,-4.42,2299.01,2265.22,33.8,17.1,-351.93,-160.52,1572238.8,42509.13
40835.6,41266.0,40757.85,41124.0,2812.09,115340500.0,84511.0,1505.02,61735496.0,0.0,-3.64,1505.02,1307.06,197.96,21.8,-387.01,-205.82,1613254.8,42326.54
41123.99,41366.99,41076.01,41354.67,1784.04,73609860.0,43901.0,976.89,40309532.0,0.0,-3.2,976.89,807.16,169.73,28.55,-391.68,-242.99,1654514.9,42129.35
41354.67,41361.0,41203.18,41327.5,1014.47,41896290.0,31618.0,568.79,23490386.0,0.0,-3.39,568.79,445.68,123.11,28.27,-393.05,-273.0,1695813.5,41926.9
41327.51,41370.99,41100.0,41290.5,1141.19,47071468.0,41938.0,572.19,23602964.0,0.0,-3.21,572.19,569.0,3.19,30.71,-392.59,-296.92,1737061.5,41727.92
41290.5,41333.46,41122.15,41270.0,1268.0,52285336.0,41330.0,658.36,27146350.0,0.0,-3.09,658.36,609.64,48.73,28.2,-389.39,-315.41,1778295.9,41539.89
41270.01,41303.89,41084.03,41119.44,1095.25,45095896.0,44711.0,490.09,20177846.0,0.0,-3.6,490.09,605.17,-115.08,27.82,-394.46,-331.22,1819469.8,41368.57
41119.44,41147.58,40752.26,41055.87,2243.08,91894710.0,63959.0,1028.92,42156880.0,0.0,-3.61,1028.92,1214.16,-185.25,25.4,-399.0,-344.78,1860437.9,41231.51
41055.88,41225.0,41038.81,41098.53,893.56,36751190.0,34650.0,477.34,19631868.0,0.0,-3.67,477.34,416.22,61.12,20.33,-394.62,-354.75,1901566.8,40683.28
41098.53,41238.56,41062.72,41210.5,713.83,29395144.0,27803.0,400.29,16484211.0,0.0,-3.65,400.29,313.54,86.75,24.44,-377.75,-359.35,1942746.1,40694.11
41210.51,41522.41,41194.01,41474.0,1605.56,66422824.0,46028.0,903.69,37385972.0,0.0,-3.11,903.69,701.87,201.83,39.89,-339.21,-355.32,1984116.6,40715.89
41474.01,41576.0,41270.7,41284.25,2039.35,84434430.0,53968.0,1204.31,49852470.0,0.0,-3.8,1204.31,835.05,369.26,38.94,-320.29,-348.31,2025519.2,40764.28
41284.26,41385.59,41143.33,41289.99,1124.49,46376972.0,44089.0,592.46,24435100.0,0.0,-3.4,592.46,532.03,60.42,44.8,-301.35,-338.92,2066761.9,40829.22
41290.0,41464.34,41248.1,41398.37,1417.81,58624490.0,48027.0,704.0,29109090.0,0.0,-3.15,704.0,713.81,-9.81,60.89,-274.44,-326.02,2108110.5,40903.9
41398.37,41489.73,41334.0,41486.06,928.98,38475916.0,41624.0,488.05,20213848.0,0.0,-2.27,488.05,440.93,47.12,69.98,-243.23,-309.46,2149527.5,40984.55
41486.05,41509.69,41368.9,41475.37,961.48,39861532.0,40115.0,480.44,19916714.0,0.0,-2.51,480.44,481.05,-0.61,63.02,-216.86,-290.94,2190986.0,41067.36
41475.37,41488.2,41260.21,41337.31,1249.91,51689468.0,43014.0,533.11,22043732.0,0.0,-2.58,533.11,716.81,-183.7,49.31,-204.74,-273.7,2232340.5,41148.74
41337.3,41429.86,41268.33,41393.08,1053.49,43553780.0,42460.0,503.75,20825966.0,0.0,-2.62,503.75,549.74,-45.99,52.55,-188.46,-256.65,2273682.8,41225.64
41393.08,41455.0,40841.1,40969.31,3475.39,142761970.0,105319.0,1563.77,64232844.0,0.0,-4.14,1563.77,1911.62,-347.85,40.4,-207.36,-246.8,2314760.8,41576.0
40969.31,41156.38,40718.0,40894.71,3482.09,142521340.0,115518.0,1786.33,73121450.0,0.0,-4.05,1786.33,1695.77,90.56,39.13,-225.76,-242.59,2355690.5,41561.3
40894.71,40953.59,40310.0,40395.01,4971.06,201773180.0,147409.0,2278.76,92497270.0,0.0,-3.7,2278.76,2692.3,-413.54,32.55,-277.47,-249.57,2396280.0,41527.57
40395.0,41250.0,40280.0,41239.57,4450.93,181715660.0,168862.0,2306.2,94145830.0,0.0,-1.38,2306.2,2144.72,161.48,53.22,-247.44,-249.14,2437106.5,41454.52
41239.57,41979.0,41006.61,41808.08,4197.78,174172690.0,143446.0,2211.9,91775070.0,0.0,0.72,2211.9,1985.89,226.01,60.49,-175.75,-234.46,2478598.2,40280.0
41808.08,41929.65,41575.4,41814.27,2480.83,103544110.0,82416.0,1371.05,57224652.0,0.0,1.93,1371.05,1109.78,261.26,59.21,-117.08,-210.99,2520336.0,40313.98
41814.27,42196.86,41517.6,41620.0,4230.96,177250910.0,115677.0,2104.01,88177144.0,0.0,1.92,2104.01,2126.95,-22.93,52.28,-85.28,-185.84,2562229.8,40380.58
41619.99,41791.7,41552.35,41633.83,1610.95,67107770.0,66612.0,780.34,32507148.0,0.0,1.24,780.34,830.6,-50.26,55.77,-58.29,-160.33,2603887.0,40489.56
41633.83,41735.61,41532.89,41687.1,890.03,37043180.0,39573.0,488.13,20317080.0,0.0,0.8,488.13,401.91,86.22,56.45,-32.23,-134.71,2645507.0,40626.14
41687.1,41721.1,41613.67,41659.03,816.72,34022480.0,42880.0,420.03,17497216.0,0.0,0.8,420.03,396.69,23.33,54.35,-13.68,-110.51,2687164.5,40783.22
41659.03,41679.52,41456.3,41482.29,1037.44,43117264.0,48464.0,490.32,20378236.0,0.0,0.46,490.32,547.11,-56.79,49.94,-13.09,-91.02,2728725.8,40952.85
41482.28,41700.0,41482.28,41655.42,792.03,32948828.0,41275.0,439.25,18272654.0,0.0,0.93,439.25,352.78,86.48,52.77,1.33,-72.55,2770326.0,41127.01
41655.42,41662.74,41538.0,41621.23,594.98,24749238.0,35586.0,290.62,12087918.0,0.0,1.22,290.62,304.37,-13.75,54.51,9.88,-56.07,2811923.0,41298.19
41621.23,41649.61,41524.0,41634.65,561.76,23356602.0,30282.0,309.15,12853210.0,0.0,1.41,309.15,252.61,56.53,53.89,17.54,-41.35,2853500.5,41459.95
41634.64,41659.03,41578.63,41607.2,436.83,18183660.0,24932.0,181.55,7556784.0,0.0,1.24,181.55,255.28,-73.73,61.78,21.15,-28.85,2895127.0,42196.86
41607.19,41646.46,41564.81,41627.63,453.58,18872962.0,24798.0,236.85,9854622.0,0.0,1.01,236.85,216.74,20.11,63.81,25.37,-18.0,2936735.2,42184.5
41627.62,41698.71,41615.92,41672.02,582.85,24281958.0,30413.0,277.69,11568704.0,0.0,0.48,277.69,305.16,-27.47,79.04,31.93,-8.02,2978396.2,42159.7
41672.02,41774.0,41644.72,41650.95,638.34,26618366.0,29376.0,307.55,12824946.0,0.0,0.89,307.55,330.79,-23.24,64.96,35.02,0.59,3020095.2,42124.02
41650.95,41668.66,41522.38,41590.0,1054.68,43863504.0,48470.0,449.48,18691728.0,0.0,0.73,449.48,605.2,-155.72,37.43,32.19,6.91,3061684.5,42079.28
41590.01,41643.06,41459.02,41521.1,735.91,30568872.0,36875.0,315.03,13084689.0,0.0,0.3,315.03,420.88,-105.85,34.24,24.1,10.35,3103223.2,42023.59
41521.1,41616.43,41495.81,41543.31,640.82,26631546.0,32852.0,316.01,13132760.0,0.0,0.14,316.01,324.82,-8.81,44.94,19.26,12.13,3144781.5,41955.84
41543.3,41619.0,41475.69,41580.83,674.93,28037096.0,28970.0,277.12,11513928.0,0.0,0.25,277.12,397.82,-120.7,46.61,18.24,13.35,3186322.0,41886.28
41580.82,41700.0,41540.0,41620.01,645.32,26851770.0,33146.0,326.05,13566723.0,0.0,0.68,326.05,319.26,6.79,45.63,20.36,14.76,3227932.2,41817.92
41620.0,41685.77,41584.68,41633.12,653.88,27224468.0,31695.0,293.66,12226007.0,0.0,0.58,293.66,360.23,-66.57,48.28,22.84,16.37,3269567.2,41753.32
41633.11,41646.0,41491.16,41542.99,795.56,33065722.0,34235.0,375.03,15584735.0,0.0,1.4,375.03,420.53,-45.5,54.56,17.33,16.56,3311130.0,41694.46
41542.98,41688.53,41478.0,41570.11,813.88,33837764.0,52202.0,391.15,16262643.0,0.0,1.65,391.15,422.73,-31.57,41.8,14.98,16.25,3352705.5,41459.02
41570.1,41645.81,41537.84,41563.66,625.86,26032266.0,33396.0,306.67,12754916.0,0.0,2.89,306.67,319.19,-12.52,44.15,12.45,15.49,3394300.5,41463.61
41563.66,41625.0,41543.61,41591.11,495.01,20586094.0,27633.0,268.77,11176945.0,0.0,0.85,268.77,226.24,42.52,45.7,12.52,14.89,3435887.8,41472.6
41591.1,41634.19,41526.36,41606.17,565.62,23519030.0,30978.0,268.81,11178112.0,0.0,-0.48,268.81,296.81,-27.99,49.9,13.63,14.64,3477468.8,41485.56
41606.16,41684.94,41605.01,41632.96,456.73,19016368.0,25192.0,198.36,8258446.5,0.0,-0.43,198.36,258.37,-60.01,50.53,16.48,15.01,3519104.8,41501.8
41632.97,41822.99,41617.58,41751.36,829.62,34632650.0,41387.0,426.56,17807260.0,0.0,0.32,426.56,403.06,23.49,56.91,27.97,17.6,3560849.5,41520.47
41751.37,41872.56,41729.9,41733.85,726.76,30384984.0,34146.0,316.02,13213636.0,0.0,0.24,316.02,410.74,-94.72,57.26,35.26,21.13,3602658.5,41556.77
41733.85,41819.99,41669.9,41781.53,478.93,19997842.0,23541.0,228.01,9520122.0,0.0,0.23,228.01,250.92,-22.91,67.18,44.37,25.78,3644414.0,41600.98
41781.54,41809.87,41610.54,41696.04,632.65,26389144.0,27480.0,267.65,11165416.0,0.0,0.09,267.65,365.0,-97.34,65.24,44.19,29.46,3686126.0,41872.56
41696.05,41727.0,41629.87,41645.98,405.51,16900148.0,24694.0,179.04,7461991.5,0.0,0.39,179.04,226.47,-47.44,58.53,39.54,31.48,3727802.0,41867.32
41645.98,41722.14,41633.8,41666.82,411.5,17147908.0,27999.0,211.28,8804345.0,0.0,0.03,211.28,200.22,11.06,57.35,37.12,32.61,3769473.5,41857.05
41666.83,41719.36,41652.29,41699.8,406.21,16934188.0,28565.0,179.87,7498394.0,0.0,0.19,179.87,226.34,-46.47,56.89,37.42,33.57,3811162.0,41842.26
41699.8,41730.0,41661.74,41680.82,377.67,15749757.0,25126.0,172.02,7173650.5,0.0,0.11,172.02,205.65,-33.63,54.08,35.72,34.0,3852864.2,41823.72
41680.83,41685.55,41651.74,41673.41,258.81,10784099.0,18042.0,123.22,5134128.5,0.0,0.16,123.22,135.59,-12.38,62.98,33.39,33.88,3894531.8,41802.4
41673.41,41691.11,41628.46,41628.47,305.06,12708265.0,20063.0,105.42,4391876.0,0.0,0.0,105.42,199.64,-94.22,55.61,27.6,32.62,3936190.0,41779.38
41628.46,41654.99,41564.29,41597.66,349.77,14555762.0,22500.0,155.28,6461661.0,0.0,-0.18,155.28,194.49,-39.21,53.12,20.29,30.16,3977805.0,41755.74
41597.66,41669.94,41587.27,41648.51,284.99,11861884.0,19741.0,155.14,6457225.5,0.0,-0.01,155.14,129.85,25.29,55.05,18.39,27.81,4019427.0,41725.11
41648.5,41710.0,41648.5,41663.96,423.86,17671150.0,23125.0,210.04,8756575.0,0.0,0.18,210.04,213.83,-3.79,55.09,17.93,25.83,4061117.8,41564.29
41663.96,41747.53,41663.96,41747.53,430.36,17949218.0,25623.0,236.91,9880797.0,0.0,0.55,236.91,193.45,43.46,59.17,24.02,25.47,4102825.5,41567.2
41747.52,41826.97,41709.99,41785.99,717.33,29965946.0,34773.0,361.17,15086728.0,0.0,0.58,361.17,356.16,5.01,53.18,31.59,26.69,4144599.8,41574.42
41786.0,41795.61,41686.0,41719.89,401.38,16760023.0,25127.0,175.5,7328294.0,0.0,0.33,175.5,225.88,-50.39,48.82,31.89,27.73,4186355.8,41589.57
41719.9,41821.1,41700.91,41735.99,509.29,21265302.0,30798.0,287.51,12003910.0,0.0,0.28,287.51,221.78,65.74,45.95,33.05,28.8,4228111.0,41608.56
41735.99,41862.02,41735.98,41859.53,691.91,28926964.0,33524.0,367.59,15367037.0,0.0,0.54,367.59,324.32,43.26,63.62,43.43,31.72,4269918.0,41630.4
41859.52,41881.39,41757.25,41787.5,630.52,26371584.0,35478.0,312.92,13087176.0,0.0,0.59,312.92,317.6,-4.68,61.38,45.32,34.44,4311743.5,41658.2
41787.49,41860.0,41605.0,41656.28,978.43,40818620.0,44847.0,454.1,18944904.0,0.0,0.21,454.1,524.34,-70.24,49.28,35.82,34.72,4353461.5,41881.39
41656.27,41673.06,41525.0,41607.18,791.19,32921680.0,34426.0,354.69,14758003.0,0.0,0.1,354.69,436.51,-81.82,43.81,24.05,32.59,4395072.0,41875.86
41607.18,41695.07,41599.39,41678.0,481.67,20065960.0,24725.0,273.86,11407869.0,0.0,0.21,273.86,207.81,66.05,49.82,20.21,30.11,4436731.0,41861.83
41677.99,41729.77,41627.0,41681.09,467.73,19499796.0,24610.0,224.31,9351183.0,0.0,0.18,224.31,243.42,-19.11,50.48,17.21,27.53,4478421.0,41841.62
41681.09,41720.0,41635.25,41719.4,360.44,15022566.0,23292.0,165.75,6907918.5,0.0,0.21,165.75,194.7,-28.95,55.76,17.73,25.57,4520098.5,41816.29
41719.39,41772.75,41618.68,41643.91,686.1,28608488.0,36665.0,260.48,10861074.0,0.0,-0.26,260.48,425.62,-165.14,52.77,11.9,22.84,4561796.0,41787.16
41643.9,41811.1,41620.27,41785.91,419.96,17516098.0,23411.0,228.65,9537540.0,0.0,0.12,228.65,191.31,37.34,57.42,18.53,21.98,4603504.5,41525.0
41785.9,41785.91,41620.23,41633.39,340.65,14207352.0,22254.0,126.21,5262993.5,0.0,-0.35,126.21,214.44,-88.24,48.56,11.35,19.85,4645211.5,41530.72
41633.39,41676.78,41500.98,41580.33,599.8,24938806.0,28409.0,255.61,10626930.0,0.0,-0.28,255.61,344.19,-88.58,41.9,1.36,16.15,4686790.0,41811.1
41580.32,41683.53,41467.58,41657.43,958.27,39845824.0,45171.0,476.29,19805474.0,0.0,0.03,476.29,481.98,-5.69,44.0,-0.33,12.86,4728371.0,41804.9
41657.43,41689.65,41263.6,41363.37,1980.38,81998840.0,67183.0,950.39,39352000.0,0.0,-0.73,950.39,1029.99,-79.6,36.27,-25.11,5.26,4769776.5,41791.4
41363.38,41426.03,41258.1,41317.98,824.53,34085820.0,37898.0,382.39,15807494.0,0.0,-0.92,382.39,442.14,-59.75,34.26,-47.86,-5.36,4811116.0,41759.74
41317.97,41343.99,41058.22,41197.04,1431.5,58962416.0,57902.0,662.47,27287926.0,0.0,-1.16,662.47,769.02,-106.55,25.0,-74.79,-19.25,4852305.5,41719.6
41197.04,41221.99,40768.0,40786.41,2024.9,83023400.0,68068.0,881.75,36152920.0,0.0,-2.13,881.75,1143.15,-261.41,19.91,-127.79,-40.95,4893307.0,41653.47
40786.41,41157.23,40684.0,41138.46,2043.09,83621560.0,94874.0,1119.03,45798412.0,0.0,-1.18,1119.03,924.06,194.97,36.26,-139.77,-60.72,4934236.0,41547.21
41138.47,41321.17,41009.16,41205.99,1603.69,66027624.0,91110.0,837.64,34486732.0,0.0,-0.94,837.64,766.04,71.6,39.46,-142.18,-77.01,4975408.0,41426.36
41205.99,41214.0,40978.63,41043.7,1048.82,43106080.0,43528.0,486.65,20000680.0,0.0,-1.45,486.65,562.17,-75.52,34.1,-155.39,-92.69,5016507.5,41307.58
41043.7,41043.71,40761.87,40959.0,1986.47,81242970.0,72690.0,880.63,36013720.0,0.0,-1.69,880.63,1105.84,-225.2,32.61,-170.73,-108.3,5057406.0,41195.34
40958.99,41047.51,40610.0,40744.85,1725.51,70498760.0,69055.0,897.71,36680436.0,0.0,-2.4,897.71,827.8,69.91,28.36,-197.89,-126.21,5098262.5,41093.07
40744.86,40852.1,40364.63,40703.91,3247.98,131890250.0,169389.0,1597.52,64884190.0,0.0,-2.59,1597.52,1650.46,-52.94,28.8,-220.17,-145.01,5138869.5,40996.46
40703.9,40941.09,40670.98,40815.99,1820.32,74307980.0,93816.0,983.86,40161376.0,0.0,-2.17,983.86,836.46,147.4,27.83,-226.18,-161.24,5179691.0,40364.63
40815.92,40922.14,40685.96,40884.97,1281.48,52296820.0,51227.0,666.97,27215588.0,0.0,-2.04,666.97,614.51,52.46,32.21,-222.81,-173.56,5220500.5,40376.16
40884.97,41244.06,40865.6,40943.17,2170.13,89103864.0,126237.0,1119.63,45966030.0,0.0,-2.19,1119.63,1050.5,69.13,34.89,-212.99,-181.44,5261560.0,40398.76
40943.17,40978.69,40515.9,40694.75,2673.38,108771280.0,136300.0,1252.59,50958372.0,0.0,-2.62,1252.59,1420.78,-168.19,28.89,-222.68,-189.69,5302246.5,40449.48
40694.76,40850.0,40350.0,40771.99,3208.29,130170696.0,144464.0,1571.4,63763784.0,0.0,-2.12,1571.4,1636.89,-65.48,35.67,-221.58,-196.07,5342820.0,41244.06
40772.0,40874.99,40400.0,40518.6,2429.99,98593020.0,99315.0,1284.77,52125710.0,0.0,-2.62,1284.77,1145.22,139.55,32.4,-238.4,-204.53,5383393.5,41226.18
40518.61,40806.42,40457.95,40708.0,1602.3,65150350.0,75522.0,875.2,35589180.0,0.0,-2.33,875.2,727.1,148.1,39.55,-233.76,-210.38,5424054.0,41191.13
40707.99,40800.01,40119.11,40316.01,3457.46,139680380.0,114452.0,1431.15,57850948.0,0.0,-3.28,1431.15,2026.31,-595.17,39.87,-258.72,-220.05,5464454.0,41140.66
40316.0,40570.83,39431.58,39820.31,7927.01,316265920.0,217163.0,3430.5,136911700.0,0.0,-4.55,3430.5,4496.51,-1066.02,23.26,-314.88,-239.01,5504350.5,41058.94
39820.31,40343.18,39751.14,40181.2,3814.78,153097250.0,104900.0,1992.53,79970430.0,0.0,-3.51,1992.53,1822.25,170.28,31.42,-326.5,-256.51,5544483.0,40896.2
40181.2,40206.34,39845.7,39849.95,2123.78,85002200.0,55227.0,1076.11,43068308.0,0.0,-4.63,1076.11,1047.67,28.44,29.61,-358.3,-276.87,5584507.5,40720.45
39849.95,40088.88,39480.0,39832.8,2201.87,87711480.0,61945.0,1090.97,43474650.0,0.0,-4.32,1090.97,1110.9,-19.92,30.31,-380.51,-297.6,5624342.5,40540.01
39832.81,39961.1,39488.12,39568.02,1840.27,72997390.0,49814.0,839.98,33324792.0,0.0,-4.84,839.98,1000.29,-160.31,29.78,-414.69,-321.02,5664009.0,40362.66
39568.02,39888.0,39511.1,39872.0,1591.36,63208090.0,47221.0,900.02,35749020.0,0.0,-4.29,900.02,691.34,208.68,36.89,-412.5,-339.31,5703728.5,40195.07
39872.0,39912.18,39713.2,39830.71,883.19,35164424.0,31488.0,427.05,17005420.0,0.0,-3.71,427.05,456.14,-29.08,34.12,-409.37,-353.32,5743543.5,40042.37
39830.7,40067.99,39810.0,40060.46,1017.59,40672692.0,34017.0,568.73,22733294.0,0.0,-3.04,568.73,448.86,119.87,37.37,-383.93,-359.44,5783513.5,39431.58
40060.47,40118.87,39979.52,40000.44,954.67,38228540.0,29815.0,513.66,20572732.0,0.0,-2.9,513.66,441.01,72.65,35.56,-364.41,-360.44,5823557.0,39444.31
40000.43,40176.74,40000.43,40065.51,819.53,32878434.0,31246.0,468.93,18813576.0,0.0,-1.77,468.93,350.6,118.33,39.79,-339.77,-356.3,5863675.5,39471.29
40065.5,40129.16,40062.3,40069.34,528.46,21187164.0,22257.0,296.21,11875420.0,0.0,-2.6,296.21,232.26,63.95,38.32,-316.29,-348.3,5903767.5,39513.62
40069.35,40129.12,39960.87,40019.42,811.0,32468954.0,32917.0,348.12,13938323.0,0.0,-2.88,348.12,462.87,-114.75,41.1,-298.27,-338.3,5943803.5,39566.67
40019.43,40026.37,39665.02,39780.0,1693.37,67437740.0,54516.0,821.85,32727366.0,0.0,-3.08,821.85,871.53,-49.68,33.75,-299.86,-330.61,5983628.0,39627.68
39780.01,39860.0,39328.0,39464.96,2986.79,118260664.0,86674.0,1429.7,56647730.0,0.0,-3.65,1429.7,1557.09,-127.38,34.68,-322.81,-329.05,6023222.5,40176.74
39464.97,39492.57,38907.67,38961.39,6604.67,258411840.0,179694.0,3147.29,123169230.0,0.0,-4.38,3147.29,3457.38,-310.09,34.58,-377.29,-338.7,6062348.0,40159.76
38961.39,39150.0,38855.12,38917.28,3342.73,130396370.0,100302.0,1834.32,71586500.0,0.0,-4.39,1834.32,1508.41,325.91,24.41,-419.19,-354.79,6101357.0,40109.68
38917.27,39045.56,38657.0,38845.56,3393.58,131753010.0,137116.0,1509.29,58622836.0,0.0,-4.83,1509.29,1884.29,-374.99,27.27,-452.96,-374.43,6140181.0,40034.4
38845.56,39088.01,38758.82,39065.67,2870.76,111673670.0,138882.0,1635.87,63641620.0,0.0,-4.45,1635.87,1234.89,400.98,34.1,-456.7,-390.88,6179081.5,39924.22
39065.68,39083.35,38853.39,38864.16,1462.05,56992150.0,87531.0,743.31,28976706.0,0.0,-5.08,743.31,718.75,24.56,35.02,-470.5,-406.8,6218062.5,39797.49
